Math-exam,Science-exam ',English-exam ',Math19-1 ',Science19-1 ',English19-1 ',Math19-2 ',Science19-2 ',English19-2 ',Math19-3 ',Science19-3 ',English19-3 ',Math20-1 ',Science20-1 ',English20-1 ',Math20-2 ',Science20-2 ',English20-2 ',Math20-3 ',Science20-3 ',English20-3 ',Grade
68.0,50.0,89.0,71.0,67.0,90.0,68.0,94.0,89.0,94.0,72.0,76.0,86.0,64.0,82.0,69.0,85.0,69.0,76.0,77.0,81.0,
80.0,70.0,82.5,62.3,77.7,87.6,84.5,80.0,85.6,100.0,87.5,77.3,100.0,93.1,87.6,88.3,90.5,92.2,83.3,83.3,92.4,
50.0,80.0,70.0,94.8,90.1,69.8,89.9,79.2,90.8,100.0,59.3,78.6,98.6,88.4,88.4,81.4,87.5,80.0,63.0,92.3,93.3,
87.5,60.0,72.5,73.3,89.9,100.0,87.6,79.2,80.0,100.0,77.6,69.6,77.2,77.8,90.3,100.0,91.3,69.8,100.0,88.3,73.3,
92.0,62.0,76.0,66.0,91.0,59.0,84.0,61.0,78.0,78.0,87.0,89.0,89.0,82.0,87.0,96.0,94.0,93.0,97.0,89.0,97.0,
75.0,87.5,85.0,84.5,87.5,90.5,100.0,90.8,61.7,61.7,100.0,78.0,72.9,78.0,73.8,90.5,61.7,100.0,80.2,80.2,33.3,
90.0,70.0,75.0,100.0,69.8,87.5,74.7,83.7,100.0,98.6,85.0,73.8,100.0,93.1,73.3,100.0,100.0,77.7,95.5,89.9,90.5,
82.5,72.5,95.0,78.0,84.8,84.5,100.0,82.7,80.0,61.7,89.0,56.3,62.3,77.7,87.6,84.5,80.0,85.6,100.0,87.5,77.3,
55.0,62.5,72.5,63.0,90.3,80.0,90.5,100.0,91.3,78.0,75.7,73.3,77.5,78.5,78.5,88.8,70.6,100.0,92.2,77.8,77.8,
75.0,87.5,85.0,88.4,83.4,88.3,100.0,77.7,81.4,69.5,89.7,64.0,64.0,85.0,85.0,83.2,81.4,84.5,100.0,95.2,83.7,
87.5,60.0,72.5,75.0,88.3,79.2,100.0,61.7,78.0,92.2,100.0,79.2,100.0,61.7,85.6,44.4,85.6,89.9,100.0,90.3,81.4,
65.0,70.0,75.0,63.0,90.3,80.0,73.3,86.7,61.7,82.6,95.3,85.6,98.6,88.3,88.3,98.6,61.7,61.7,61.9,57.1,79.2,
65.0,82.0,93.0,79.0,89.0,70.0,74.0,65.0,61.0,82.0,57.0,69.0,64.0,83.0,75.0,77.0,98.0,96.0,92.0,79.0,71.0,
75.0,75.0,82.5,100.0,87.6,87.6,82.7,52.4,82.7,90.3,78.0,90.3,72.9,78.0,73.8,91.3,92.3,91.3,73.8,100.0,73.8,
71.0,71.0,99.0,77.0,62.0,86.0,70.0,77.0,78.0,92.0,97.0,97.0,92.0,84.0,95.0,89.0,78.0,82.0,93.0,98.0,81.0,
80.0,75.0,85.0,69.8,90.5,87.6,61.9,84.5,93.1,79.4,69.8,73.3,91.3,92.3,91.3,100.0,84.5,79.2,79.2,33.3,74.2,
82.5,72.5,95.0,95.5,79.2,80.0,79.2,85.6,88.3,64.0,89.0,67.5,63.0,81.4,85.0,89.9,90.8,85.7,66.7,66.7,92.0,
50.0,72.5,77.5,74.7,88.2,77.7,95.5,61.7,61.7,79.3,98.6,100.0,85.0,33.3,85.0,85.0,93.1,88.3,77.8,58.0,89.1,
72.5,82.5,82.5,87.6,69.8,96.3,73.3,100.0,61.7,89.9,61.0,96.3,100.0,90.5,90.5,89.9,92.4,79.2,93.1,88.1,93.1,
87.5,70.0,70.0,80.2,87.6,61.7,80.5,68.4,98.6,33.3,61.7,77.7,72.9,82.7,73.3,88.3,92.0,56.3,56.6,80.0,87.6,
50.0,80.0,70.0,76.8,69.6,95.5,100.0,83.3,79.2,79.2,92.0,100.0,100.0,61.7,78.0,91.3,68.7,89.9,88.3,89.9,78.0,
65.0,70.0,75.0,73.8,88.2,81.4,68.7,77.7,69.8,87.6,61.7,93.1,79.2,85.6,100.0,93.1,88.3,88.3,100.0,68.4,67.5,
65.0,70.0,75.0,75.0,88.3,79.2,74.7,92.4,93.1,84.5,82.7,89.7,100.0,61.0,61.0,100.0,84.6,100.0,95.5,56.6,56.6,
82.0,95.0,63.0,62.0,50.0,50.0,71.0,82.0,90.0,63.0,89.0,87.0,64.0,69.0,87.0,80.0,70.0,89.0,82.0,91.0,89.0,
55.0,81.0,85.0,82.0,64.0,51.0,64.0,55.0,77.0,58.0,92.0,89.0,86.0,74.0,79.0,92.0,90.0,83.0,94.0,76.0,78.0,
72.5,70.0,65.0,61.7,93.1,80.0,91.3,61.7,89.9,85.0,63.6,61.0,82.6,95.3,85.6,89.7,88.2,83.2,98.6,92.3,77.5,
80.0,59.0,62.0,74.0,81.0,59.0,90.0,83.0,83.0,83.0,88.0,92.0,77.0,91.0,76.0,96.0,73.0,94.0,70.0,97.0,88.0,
52.5,82.5,62.5,98.6,88.4,88.4,100.0,87.6,87.6,73.3,100.0,89.9,57.1,79.2,91.3,61.9,84.5,93.1,100.0,95.5,91.3,
70.0,37.5,80.0,75.0,88.3,79.2,100.0,61.7,78.0,88.4,93.3,87.6,95.5,61.7,61.7,100.0,79.2,79.2,80.2,91.3,84.5,
52.5,65.0,60.0,88.3,91.3,89.9,64.0,83.2,82.7,100.0,88.3,83.4,61.7,88.5,93.1,96.3,73.3,77.7,74.2,93.3,77.3,
80.0,70.0,82.5,80.2,87.6,61.7,100.0,89.9,88.3,79.4,92.0,87.5,72.9,82.7,73.3,64.0,69.8,69.8,80.0,100.0,73.3,
95.0,72.5,95.0,96.3,90.3,90.3,80.2,91.3,85.6,100.0,79.2,79.2,80.2,73.8,69.8,44.4,85.6,89.9,63.0,81.4,85.0,
55.0,78.0,88.0,73.0,52.0,93.0,62.0,70.0,72.0,53.0,88.0,79.0,82.0,80.0,64.0,96.0,92.0,97.0,94.0,84.0,97.0,
66.0,68.0,68.0,60.0,70.0,60.0,74.0,73.0,71.0,90.0,85.0,88.0,73.0,63.0,68.0,97.0,93.0,89.0,77.0,90.0,91.0,
76.0,78.0,57.0,90.0,95.0,94.0,93.0,86.0,67.0,87.0,68.0,63.0,84.0,83.0,63.0,72.0,75.0,94.0,91.0,69.0,93.0,
67.5,72.5,77.5,87.6,61.7,77.8,73.3,87.6,91.3,87.3,56.6,68.8,61.7,73.8,79.2,92.4,73.8,85.6,89.1,95.2,89.5,
72.5,70.0,65.0,95.5,90.8,90.8,100.0,82.7,80.0,89.9,90.8,85.7,91.3,92.3,91.3,80.5,85.7,88.8,100.0,68.8,93.4,
68.0,52.0,92.0,51.0,77.0,67.0,75.0,68.0,71.0,80.0,58.0,61.0,60.0,62.0,85.0,77.0,77.0,84.0,72.0,90.0,98.0,
82.5,85.0,85.0,57.1,79.2,91.3,76.8,69.6,95.5,88.4,89.9,73.3,100.0,90.5,90.5,70.7,88.1,92.0,68.4,100.0,92.9,
77.0,66.0,52.0,84.0,79.0,86.0,67.0,72.0,60.0,93.0,81.0,53.0,83.0,69.0,91.0,71.0,89.0,77.0,92.0,72.0,72.0,
90.0,70.0,75.0,100.0,87.6,87.6,100.0,84.5,79.2,78.0,87.6,75.0,93.1,86.6,77.7,63.6,75.0,61.7,100.0,85.6,83.2,
58.0,87.0,56.0,66.0,80.0,54.0,87.0,79.0,60.0,92.0,52.0,93.0,95.0,79.0,88.0,99.0,74.0,82.0,84.0,73.0,70.0,
80.0,72.5,37.5,63.0,93.1,84.5,68.8,88.4,73.3,65.7,89.9,85.6,88.3,84.5,87.6,72.9,78.0,73.8,61.7,88.3,95.3,
74.0,76.0,74.0,78.0,79.0,60.0,73.0,90.0,72.0,87.0,86.0,75.0,80.0,84.0,92.0,90.0,75.0,78.0,89.0,97.0,91.0,
55.0,62.5,72.5,100.0,91.3,90.8,89.9,79.2,95.8,68.7,68.7,100.0,61.9,84.5,93.1,78.0,79.2,61.7,100.0,69.8,87.5,
67.0,52.0,79.0,73.0,77.0,83.0,80.0,90.0,83.0,95.0,77.0,87.0,89.0,63.0,82.0,70.0,95.0,76.0,95.0,97.0,69.0,
63.0,82.0,60.0,89.0,63.0,71.0,65.0,92.0,70.0,69.0,56.0,58.0,78.0,74.0,84.0,75.0,82.0,85.0,78.0,77.0,98.0,
60.0,90.0,92.0,70.0,63.0,91.0,93.0,67.0,72.0,52.0,68.0,69.0,92.0,90.0,65.0,92.0,73.0,81.0,77.0,69.0,87.0,
80.0,72.5,37.5,70.4,76.8,63.6,100.0,87.9,69.8,88.3,77.3,100.0,63.0,90.3,80.0,79.2,89.0,90.8,80.0,100.0,80.0,
92.0,83.0,91.0,87.0,68.0,78.0,60.0,58.0,59.0,94.0,73.0,92.0,77.0,70.0,89.0,81.0,95.0,89.0,99.0,70.0,99.0,
77.0,79.0,61.0,87.0,86.0,63.0,75.0,62.0,64.0,73.0,89.0,51.0,72.0,95.0,92.0,90.0,87.0,97.0,88.0,72.0,97.0,
82.5,85.0,70.0,79.2,85.6,88.3,67.3,90.8,81.4,91.3,79.2,94.6,90.5,88.3,87.6,98.6,85.0,73.8,70.7,88.1,92.0,
72.5,75.0,80.0,44.4,87.6,90.3,77.3,85.6,58.0,61.7,89.9,93.1,100.0,89.9,89.9,61.0,93.3,83.7,69.6,87.5,93.4,
85.0,70.0,82.5,80.2,91.3,84.5,72.9,82.7,73.3,100.0,86.7,100.0,79.2,100.0,78.0,100.0,89.9,88.3,89.7,100.0,87.6,
85.0,80.0,95.0,63.0,93.1,84.5,80.2,87.6,61.7,98.6,87.3,89.9,87.6,75.0,73.8,75.6,85.0,88.4,100.0,93.1,91.3,
70.0,80.0,63.0,83.0,81.0,92.0,57.0,90.0,80.0,78.0,51.0,79.0,64.0,93.0,68.0,97.0,87.0,94.0,75.0,80.0,76.0,
73.0,100.0,92.0,64.0,86.0,81.0,65.0,71.0,81.0,76.0,82.0,73.0,75.0,92.0,93.0,90.0,80.0,77.0,85.0,92.0,89.0,
55.0,62.5,72.5,89.5,81.4,87.5,100.0,73.3,73.3,90.1,87.3,80.0,88.2,100.0,88.2,93.4,91.3,88.3,67.5,56.6,88.8,
63.0,50.0,75.0,77.0,68.0,63.0,87.0,60.0,84.0,81.0,67.0,70.0,72.0,94.0,84.0,75.0,81.0,72.0,90.0,85.0,95.0,
62.0,75.0,73.0,87.0,57.0,51.0,91.0,62.0,82.0,61.0,56.0,74.0,78.0,69.0,88.0,78.0,88.0,90.0,86.0,93.0,79.0,
78.0,52.0,74.0,93.0,65.0,71.0,92.0,55.0,72.0,55.0,79.0,82.0,85.0,69.0,60.0,72.0,95.0,94.0,69.0,77.0,73.0,
62.0,82.0,66.0,85.0,59.0,65.0,72.0,95.0,90.0,70.0,63.0,60.0,71.0,80.0,90.0,99.0,93.0,97.0,71.0,74.0,97.0,
75.0,95.0,70.0,98.6,85.6,93.1,100.0,61.7,84.5,100.0,91.3,78.0,61.7,73.8,79.2,88.4,82.7,100.0,90.1,85.6,88.2,
80.0,70.0,82.5,87.6,88.2,94.6,60.0,77.7,83.3,100.0,75.2,58.0,77.2,89.7,85.0,100.0,93.1,93.1,100.0,84.6,100.0,
52.0,85.0,67.0,64.0,50.0,83.0,70.0,87.0,65.0,86.0,51.0,54.0,91.0,61.0,74.0,97.0,76.0,71.0,94.0,79.0,70.0,
55.0,62.5,72.5,80.2,91.3,85.6,63.0,90.3,80.0,80.2,87.6,61.7,82.7,85.0,88.2,57.1,79.2,91.3,92.4,82.7,69.8,
68.0,79.0,50.0,56.0,60.0,92.0,88.0,59.0,70.0,53.0,72.0,95.0,75.0,85.0,83.0,90.0,71.0,98.0,93.0,73.0,88.0,
50.0,80.0,70.0,89.1,89.9,84.5,98.6,88.0,85.0,87.3,61.7,85.6,100.0,83.2,90.3,95.5,82.6,100.0,100.0,84.5,79.2,
90.0,70.0,75.0,89.5,65.4,65.4,94.8,86.6,100.0,83.3,68.4,68.4,95.5,87.6,85.0,100.0,86.7,100.0,96.3,73.3,77.7,
70.0,37.5,80.0,93.1,86.6,77.7,63.6,75.0,61.7,100.0,85.6,83.2,80.2,91.3,84.5,72.9,82.7,73.3,100.0,86.7,100.0,
61.0,86.0,85.0,75.0,50.0,92.0,87.0,94.0,95.0,65.0,62.0,93.0,71.0,84.0,66.0,76.0,92.0,71.0,71.0,88.0,95.0,
51.0,65.0,75.0,88.0,67.0,76.0,73.0,83.0,85.0,88.0,63.0,70.0,73.0,80.0,79.0,90.0,86.0,77.0,75.0,70.0,69.0,
95.0,52.0,83.0,61.0,72.0,77.0,72.0,73.0,63.0,70.0,86.0,80.0,73.0,75.0,83.0,89.0,93.0,90.0,87.0,88.0,69.0,
92.0,90.0,92.0,78.0,79.0,53.0,93.0,92.0,87.0,84.0,67.0,64.0,66.0,90.0,67.0,97.0,95.0,84.0,89.0,82.0,79.0,
73.0,52.0,73.0,86.0,60.0,67.0,73.0,73.0,67.0,88.0,68.0,81.0,66.0,92.0,93.0,99.0,96.0,90.0,76.0,69.0,82.0,
82.0,51.0,91.0,63.0,70.0,78.0,75.0,88.0,62.0,94.0,77.0,74.0,61.0,90.0,90.0,84.0,82.0,99.0,91.0,80.0,89.0,
95.0,60.0,80.0,95.5,61.7,61.7,74.2,93.3,77.3,80.5,85.7,88.8,44.4,87.6,90.3,79.2,75.7,79.2,88.3,77.7,82.7,
95.0,69.0,71.0,95.0,88.0,54.0,66.0,77.0,88.0,86.0,86.0,81.0,70.0,91.0,77.0,88.0,71.0,93.0,98.0,99.0,80.0,
70.0,37.5,80.0,85.0,83.7,90.5,90.5,59.3,59.3,85.0,83.3,85.0,100.0,100.0,61.7,68.8,88.4,73.3,100.0,100.0,77.7,
83.0,71.0,83.0,66.0,90.0,77.0,68.0,89.0,79.0,69.0,94.0,52.0,92.0,73.0,89.0,74.0,74.0,69.0,89.0,76.0,97.0,
75.0,55.0,85.0,82.6,89.7,87.5,44.4,87.6,90.3,100.0,75.0,96.3,89.1,88.8,91.3,78.0,84.5,80.0,98.6,75.2,67.2,
80.0,91.0,71.0,68.0,53.0,66.0,93.0,61.0,78.0,88.0,80.0,54.0,63.0,92.0,84.0,93.0,70.0,98.0,99.0,69.0,98.0,
82.5,80.0,85.0,0.0,79.2,83.2,92.6,90.5,87.6,63.0,93.1,84.5,85.6,88.3,91.3,62.3,85.6,87.5,89.9,85.6,89.7,
80.0,70.0,82.5,65.7,89.9,85.6,79.2,85.6,100.0,80.7,80.7,100.0,44.4,87.6,90.3,80.0,85.6,87.6,66.7,67.3,33.3,
87.5,70.0,70.0,84.5,93.1,77.7,85.6,100.0,64.7,81.4,80.5,98.6,100.0,88.3,88.3,81.4,100.0,81.4,61.7,92.4,61.7,
68.0,68.0,57.0,68.0,71.0,60.0,95.0,58.0,65.0,68.0,84.0,86.0,61.0,67.0,94.0,85.0,97.0,78.0,95.0,80.0,94.0,
84.0,99.0,73.0,89.0,65.0,64.0,81.0,87.0,76.0,79.0,97.0,74.0,78.0,96.0,98.0,82.0,75.0,92.0,95.0,92.0,83.0,
85.0,37.5,70.0,98.6,87.3,89.9,83.3,80.0,73.8,100.0,85.6,77.3,89.5,88.3,89.9,69.8,90.5,87.6,64.0,84.8,79.4,
61.0,66.0,88.0,95.0,73.0,62.0,68.0,94.0,63.0,93.0,50.0,93.0,67.0,86.0,85.0,99.0,78.0,95.0,98.0,77.0,99.0,
67.5,72.5,77.5,44.4,87.6,90.3,65.7,89.9,85.6,90.5,93.3,91.3,100.0,89.9,89.9,100.0,88.3,88.3,100.0,61.7,88.3,
90.0,79.0,87.0,81.0,60.0,64.0,62.0,71.0,69.0,80.0,84.0,50.0,90.0,93.0,73.0,83.0,87.0,78.0,97.0,75.0,96.0,
72.5,70.0,65.0,83.3,80.0,73.8,100.0,90.5,90.5,82.6,93.4,100.0,87.5,100.0,87.5,88.8,87.6,79.2,58.0,68.8,88.2,
68.0,62.0,84.0,67.0,82.0,57.0,93.0,60.0,74.0,63.0,81.0,56.0,68.0,91.0,73.0,93.0,89.0,74.0,98.0,92.0,95.0,
55.0,54.0,83.0,61.0,90.0,74.0,73.0,67.0,83.0,70.0,81.0,56.0,75.0,76.0,90.0,88.0,77.0,95.0,98.0,86.0,77.0,
95.0,60.0,80.0,77.7,69.8,82.7,66.7,88.3,61.7,80.0,77.7,88.4,88.3,95.2,73.3,96.3,78.0,89.9,89.9,52.4,63.4,
67.5,82.5,75.0,100.0,83.2,83.2,66.7,88.3,61.7,100.0,84.5,84.5,64.0,85.0,85.0,100.0,61.7,78.0,62.3,77.7,87.6,
65.0,70.0,75.0,98.6,85.6,93.1,88.4,73.3,91.3,65.7,83.4,78.0,0.0,79.2,83.2,90.8,88.3,84.6,92.6,92.6,100.0,
80.0,75.0,85.0,100.0,93.1,93.1,64.7,82.6,68.8,77.6,95.2,87.3,100.0,61.7,78.0,77.7,89.9,85.6,91.3,95.3,85.0,
90.0,70.0,75.0,80.0,89.0,77.7,77.7,78.6,78.6,83.3,62.5,88.8,95.5,100.0,84.5,79.2,82.7,85.0,96.3,88.3,66.7,
85.0,37.5,70.0,62.5,67.2,68.4,100.0,88.3,73.3,61.7,93.3,83.3,62.3,85.6,87.5,61.7,95.0,61.7,87.5,100.0,87.5,
76.0,62.0,88.0,62.0,76.0,84.0,92.0,84.0,92.0,52.0,95.0,85.0,74.0,81.0,65.0,84.0,73.0,95.0,78.0,83.0,72.0,
86.0,52.0,79.0,84.0,84.0,80.0,66.0,64.0,77.0,61.0,73.0,59.0,84.0,60.0,84.0,85.0,96.0,90.0,88.0,77.0,88.0,
80.0,70.0,82.5,100.0,61.9,78.0,100.0,89.9,89.9,98.6,92.2,93.4,80.0,87.3,77.7,65.7,89.9,85.6,96.3,100.0,100.0,
85.0,80.0,95.0,85.0,33.3,85.0,85.0,93.1,88.3,77.8,58.0,89.1,100.0,90.8,73.8,85.6,88.3,91.3,100.0,71.0,65.4,
66.0,95.0,69.0,69.0,77.0,83.0,66.0,90.0,56.0,64.0,84.0,58.0,62.0,83.0,72.0,74.0,82.0,78.0,96.0,87.0,82.0,
95.0,95.0,95.0,98.6,88.3,88.3,88.2,100.0,88.2,79.2,79.4,79.2,67.3,90.8,81.4,87.6,33.3,87.6,81.4,100.0,81.4,
50.0,80.0,70.0,57.1,79.2,91.3,83.3,89.4,87.6,93.1,60.0,63.6,100.0,90.8,61.7,96.3,95.8,100.0,100.0,90.3,91.3,
58.0,72.0,93.0,77.0,78.0,86.0,91.0,94.0,82.0,71.0,74.0,90.0,65.0,62.0,93.0,82.0,70.0,91.0,86.0,87.0,81.0,
81.0,93.0,53.0,85.0,80.0,55.0,56.0,70.0,83.0,95.0,90.0,95.0,70.0,60.0,63.0,70.0,74.0,82.0,86.0,75.0,77.0,
90.0,70.0,75.0,87.6,75.0,73.8,62.7,95.2,84.5,87.3,68.8,85.6,87.6,100.0,93.1,63.0,81.4,85.0,74.7,83.7,100.0,
50.0,80.0,70.0,61.7,100.0,88.2,56.6,80.0,87.6,85.0,61.0,85.6,61.7,100.0,88.3,63.0,87.5,88.4,98.6,93.3,96.3,
67.0,81.0,89.0,67.0,54.0,74.0,87.0,61.0,83.0,92.0,79.0,54.0,90.0,80.0,89.0,71.0,83.0,86.0,91.0,98.0,96.0,
65.0,70.0,75.0,88.4,91.3,100.0,92.4,85.6,61.7,85.0,88.4,77.7,87.6,88.2,94.6,60.0,77.7,83.3,100.0,75.2,58.0,
54.0,81.0,84.0,56.0,71.0,75.0,88.0,75.0,62.0,65.0,73.0,75.0,88.0,85.0,75.0,72.0,86.0,85.0,75.0,91.0,84.0,
59.0,83.0,76.0,78.0,69.0,77.0,69.0,67.0,94.0,57.0,51.0,58.0,83.0,73.0,74.0,96.0,81.0,89.0,87.0,93.0,75.0,
72.5,70.0,65.0,87.6,75.0,73.8,89.5,88.3,93.1,77.7,89.9,85.6,44.4,87.6,90.3,61.7,93.1,80.0,79.2,79.2,100.0,
80.0,70.0,82.5,77.2,77.8,90.3,100.0,91.3,69.8,100.0,88.3,73.3,100.0,61.7,84.5,93.1,69.8,83.4,62.3,100.0,68.7,
82.5,72.5,95.0,63.0,93.1,84.5,88.4,93.3,87.6,61.7,73.8,79.2,83.3,85.6,85.6,100.0,87.6,87.6,66.7,100.0,89.9,
72.0,75.0,69.0,71.0,81.0,86.0,56.0,74.0,89.0,58.0,85.0,75.0,78.0,68.0,74.0,86.0,73.0,88.0,80.0,74.0,84.0,
72.5,60.0,97.5,100.0,89.9,88.3,93.1,91.3,93.1,88.4,83.4,88.3,92.6,90.5,87.6,79.4,92.2,61.7,82.7,77.3,90.8,
57.0,58.0,65.0,92.0,76.0,93.0,91.0,68.0,95.0,93.0,63.0,66.0,73.0,94.0,88.0,69.0,79.0,96.0,86.0,79.0,81.0,
77.5,70.0,65.0,89.5,84.5,84.5,62.7,79.3,83.2,85.6,84.5,100.0,63.0,90.3,80.0,90.5,100.0,91.3,78.0,75.7,73.3,
75.0,90.0,87.0,80.0,55.0,83.0,95.0,76.0,74.0,83.0,81.0,63.0,95.0,86.0,68.0,72.0,97.0,78.0,99.0,96.0,80.0,
50.0,80.0,70.0,79.2,85.6,95.2,75.6,85.0,88.4,74.7,67.2,90.5,90.5,80.0,80.0,100.0,85.6,61.7,79.2,75.7,79.2,
95.0,95.0,95.0,77.2,77.8,90.3,84.5,93.1,77.7,100.0,69.8,89.9,44.4,85.6,89.9,59.3,78.6,56.6,73.3,87.6,91.3,
55.0,62.5,72.5,100.0,81.4,78.0,100.0,92.0,83.3,100.0,80.0,90.8,85.0,88.4,88.2,63.0,90.3,80.0,89.1,69.8,87.5,
67.5,72.5,77.5,89.9,100.0,82.7,74.7,61.7,85.6,88.4,100.0,87.6,65.7,89.9,85.6,79.2,85.6,100.0,80.7,80.7,100.0,
94.0,93.0,66.0,72.0,51.0,87.0,80.0,66.0,57.0,92.0,74.0,82.0,94.0,95.0,82.0,95.0,75.0,92.0,99.0,91.0,69.0,
82.5,72.5,95.0,100.0,61.7,78.0,93.1,88.3,95.2,75.6,75.6,100.0,75.0,88.3,79.2,78.0,88.3,89.9,57.1,63.0,95.2,
95.0,95.0,87.5,100.0,93.1,87.6,79.2,90.9,79.2,90.5,88.3,87.6,92.6,73.3,91.3,78.0,92.9,89.9,77.7,80.0,78.0,
86.0,73.0,89.0,84.0,76.0,61.0,60.0,81.0,62.0,51.0,90.0,89.0,87.0,85.0,61.0,86.0,98.0,82.0,95.0,92.0,72.0,
68.0,81.0,62.0,90.0,92.0,62.0,92.0,61.0,76.0,53.0,68.0,94.0,69.0,62.0,79.0,84.0,90.0,81.0,75.0,77.0,72.0,
50.0,80.0,70.0,100.0,90.5,82.7,98.6,93.3,96.3,100.0,88.4,88.2,100.0,88.3,91.3,90.1,91.3,69.8,100.0,79.2,87.6,
50.0,86.0,79.0,83.0,57.0,69.0,68.0,86.0,83.0,51.0,69.0,54.0,86.0,91.0,62.0,85.0,69.0,69.0,95.0,89.0,87.0,
68.0,64.0,84.0,88.0,56.0,86.0,58.0,88.0,68.0,91.0,88.0,78.0,70.0,94.0,63.0,98.0,75.0,92.0,73.0,74.0,87.0,
90.0,91.0,72.0,61.0,84.0,82.0,92.0,77.0,71.0,57.0,90.0,74.0,69.0,64.0,60.0,75.0,70.0,93.0,97.0,87.0,77.0,
64.0,69.0,85.0,58.0,68.0,57.0,95.0,81.0,69.0,59.0,63.0,74.0,71.0,65.0,67.0,79.0,95.0,72.0,86.0,94.0,90.0,
75.0,85.0,82.5,85.0,95.8,85.6,91.3,88.4,88.4,96.3,73.3,88.3,44.4,87.6,90.3,77.3,85.6,58.0,61.7,89.9,93.1,
59.0,91.0,76.0,54.0,61.0,91.0,72.0,59.0,92.0,81.0,51.0,59.0,60.0,61.0,83.0,92.0,90.0,99.0,91.0,74.0,78.0,
65.0,80.0,95.0,92.2,100.0,79.2,80.2,87.6,61.7,92.9,61.7,88.4,100.0,78.0,87.5,84.5,87.6,61.7,100.0,88.4,77.8,
65.0,68.0,74.0,87.0,67.0,74.0,88.0,80.0,81.0,84.0,83.0,74.0,91.0,92.0,86.0,79.0,97.0,85.0,89.0,87.0,89.0,
85.0,72.5,72.5,68.7,100.0,85.6,100.0,93.1,87.6,88.8,100.0,91.3,92.4,100.0,85.0,61.7,93.1,90.3,100.0,85.6,77.6,
65.0,70.0,75.0,92.4,93.4,82.7,100.0,61.7,78.0,100.0,100.0,100.0,98.6,87.3,89.9,83.3,80.0,73.8,100.0,85.6,77.3,
83.0,88.0,85.0,84.0,64.0,83.0,82.0,79.0,69.0,94.0,89.0,89.0,80.0,75.0,93.0,78.0,78.0,88.0,91.0,89.0,91.0,
62.5,,75.0,68.8,88.4,73.3,73.3,87.5,77.7,63.0,100.0,84.8,68.7,77.7,69.8,70.7,88.1,92.0,92.2,59.3,98.6,
67.5,72.5,77.5,89.9,79.2,90.8,63.0,87.5,88.4,66.7,89.9,87.3,88.3,89.9,78.0,100.0,89.9,90.5,56.3,92.4,93.3,
56.0,78.0,78.0,84.0,65.0,55.0,77.0,58.0,66.0,85.0,55.0,86.0,65.0,75.0,66.0,76.0,97.0,81.0,73.0,77.0,93.0,
