Gender,Age as of Academic Year 17/18,Current Year (17/18),Proposed Year/Grade (18/19),Year of Admission ,Previous Curriculum (17/18)2,Current School ,Current Curriculum ,Previous year/Grade ,Math-exam,Science-exam ',English-exam ',Math19-1 ',Science19-1 ',English19-1 ',Math19-2 ',Science19-2 ',English19-2 ',Math19-3 ',Science19-3 ',English19-3 ',Math20-1 ',Science20-1 ',English20-1 ',Math20-2 ',Science20-2 ',English20-2 ',Math20-3 ',Science20-3 ',English20-3 '
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,90,90,79,66,68,90,71,84,73,92,93,78,87,83,81,76,82,88,96,80,90
Female,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,89,72,94,65,84,71,74,66,65,75,85,97,99,87,98,81,87,90,81,94,81
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,76,54,83,87,73,85,68,86,81,60,92,87,79,80,69,99,82,72,76,94,95
Male,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,91,83,53,57,68,74,72,57,76,86,76,86,84,64,75,83,77,69,85,81,92
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,77,98,89,90,60,72,77,72,82,90,83,74,85,90,78,90,85,84,89,83,85
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,61,86,85,75,50,92,87,94,95,65,62,93,71,84,66,76,92,71,71,88,95
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,89,96,90,84,90,78,86,85,78,79,92,92,87,80,82,82,84,75,81,88,97
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,94,90,69,63,60,90,61,63,56,79,83,63,86,75,71,85,76,73,77,82,93
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,83,52,70,78,56,89,62,60,75,57,63,83,78,95,70,95,91,82,98,71,87
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,71,86,73,68,77,93,66,73,57,76,65,91,81,93,76,84,70,78,83,84,85
Female,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,83,83,90,62,59,51,95,56,88,50,62,81,67,83,83,97,88,70,69,78,95
Female,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,80,80,85,93,94,92,80,75,66,76,94,60,69,79,83,96,97,72,93,84,81
Male,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,71,80,62,93,69,69,68,91,91,75,56,71,83,61,78,80,91,75,85,79,77
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,93,94,60,66,92,72,94,78,94,73,93,87,78,69,60,78,78,87,96,76,72
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,85,80,78,65,68,74,81,75,79,96,70,85,83,80,82,86,75,89,90,97,98
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,90,100,80,63,84,68,71,73,88,79,71,75,98,76,97,80,88,94,84,100,91
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,62,64,74,83,71,60,60,79,74,62,70,82,65,61,72,97,97,87,93,95,83
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,77,65,79,82,61,53,64,61,62,57,70,55,66,92,63,75,85,81,80,80,94
Female,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,73,53,72,93,95,88,71,86,81,50,60,70,90,89,86,75,95,80,92,82,85
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,77,69,72,64,53,72,88,72,61,70,62,83,78,86,83,87,76,69,77,92,75
Female,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,50,63,87,94,86,56,78,82,87,76,57,75,73,79,89,98,88,73,77,85,75
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,68,72,84,83,65,71,84,94,63,80,53,95,67,68,90,90,93,94,78,69,96
Male,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,90,79,87,81,60,64,62,71,69,80,84,50,90,93,73,83,87,78,97,75,96
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,69,81,63,59,68,68,64,78,85,88,82,51,82,66,64,81,72,81,78,71,96
Male,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,52,69,52,95,80,60,66,79,63,88,61,69,85,73,86,72,78,88,73,82,87
Male,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,92,89,85,94,76,89,93,94,86,81,55,88,76,63,68,87,87,90,94,83,91
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,87,67,86,83,92,62,77,61,62,70,60,82,70,64,63,72,87,91,80,92,70
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,56,56,61,79,65,63,85,84,86,75,91,50,60,88,83,88,79,82,75,96,75
Male,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,64,69,85,58,68,57,95,81,69,59,63,74,71,65,67,79,95,72,86,94,90
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,89,58,77,91,66,93,93,84,66,61,85,77,92,79,95,91,78,69,94,71,77
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,65,70,52,58,91,71,77,63,79,94,59,90,95,79,67,92,78,72,90,86,80
Female,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,80,58,58,89,94,76,78,59,87,90,88,61,70,79,73,81,75,70,90,72,87
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,85,67,75,70,59,94,89,63,81,59,72,61,81,81,85,75,94,76,73,94,82
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,53,54,52,82,52,72,72,65,86,66,54,69,90,76,73,80,93,86,99,94,99
Male,14,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,65,79,85,68,61,73,62,82,63,80,76,51,93,70,87,71,81,77,75,92,79
Female,13,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,84,88,91,82,63,71,66,69,77,82,81,54,70,78,73,84,79,72,76,97,86
Female,15,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,52,83,91,68,77,94,90,69,86,74,69,64,92,83,93,75,84,91,97,83,85
Female,14,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,57,59,63,77,55,86,88,66,71,71,59,61,71,83,89,98,82,93,71,96,85
Female,15,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,52,66,85,90,78,75,81,76,71,64,78,95,86,71,64,78,76,95,79,85,94
Female,14,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,58,63,74,81,68,62,90,77,57,65,84,67,86,83,70,95,73,73,88,96,79
Female,14,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,96,79,87,82,68,72,66,81,83,81,96,92,83,95,89,81,83,80,96,83,90
Female,15,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,66,82,66,56,66,60,93,81,92,95,70,76,74,92,69,83,96,69,90,81,70
Male,15,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,53,86,85,64,86,73,90,75,67,80,50,75,77,80,73,96,87,93,71,83,89
Male,15,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,95,66,53,50,64,53,64,71,86,51,53,59,70,85,67,76,88,74,97,79,91
Female,15,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,52,70,57,73,89,64,57,89,59,54,71,85,94,88,68,94,85,83,79,73,70
Female,15,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,61,82,54,93,65,54,94,67,58,66,90,79,75,88,88,90,87,77,74,75,79
Male,14,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,71,88,51,57,82,63,84,92,77,84,52,90,80,82,89,74,78,73,74,87,84
Female,15,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,89,59,62,84,63,95,79,86,88,50,50,76,88,73,72,74,98,80,88,97,78
Female,13,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,77,59,76,75,60,60,92,55,77,76,68,80,64,68,90,79,82,78,94,95,82
Male,14,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,84,82,80,73,57,94,81,58,72,88,70,71,86,71,67,81,79,86,81,69,70
Male,15,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,76,89,64,78,52,53,95,71,94,91,57,51,66,75,90,71,89,80,90,88,94
Female,14,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,71,60,87,58,90,88,55,57,55,62,75,77,89,73,78,97,74,88,72,76,90
Female,14,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,64,75,69,51,51,57,81,56,58,59,78,67,90,82,77,96,85,94,74,80,79
Male,14,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,70,77,98,78,86,63,66,67,73,94,81,78,99,92,88,95,90,90,80,83,98
Male,15,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,56,66,94,52,70,76,93,92,91,58,77,85,92,80,92,97,69,94,83,78,70
Female,14,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,68,50,89,71,67,90,68,94,89,94,72,76,86,64,82,69,85,69,76,77,81
Female,14,Grade 9,Grade 10,School 1 Current Student,American ,School 1,American ,Grade System,84,87,52,77,81,54,75,88,72,79,56,76,87,85,95,84,87,93,92,79,98
Female,16,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,61,66,88,95,73,62,68,94,63,93,50,93,67,86,85,99,78,95,98,77,99
Male,14,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,76,51,55,66,63,87,77,64,74,95,58,61,63,71,91,90,92,75,70,91,70
Male,16,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,80,87,87,68,94,85,55,91,85,79,65,93,70,94,89,92,93,90,91,91,89
Male,15,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,74,76,74,78,79,60,73,90,72,87,86,75,80,84,92,90,75,78,89,97,91
Male,16,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,78,54,83,64,57,77,81,84,60,75,90,79,76,91,91,95,89,87,86,74,92
Female,15,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,90,71,52,87,59,67,66,77,69,78,79,72,77,67,70,76,87,79,70,74,90
Male,15,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,61,59,86,90,88,59,75,87,91,74,61,57,71,82,91,85,99,93,75,80,73
Female,15,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,81,68,68,86,67,85,85,56,92,76,86,80,61,70,67,82,79,78,84,78,83
Male,16,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,79,90,69,84,80,90,85,82,57,76,81,62,71,65,67,76,70,82,93,99,97
Female,16,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,88,79,74,63,84,66,90,84,77,95,78,95,88,93,85,86,91,91,89,93,90
Male,15,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,82,80,88,82,74,68,67,72,86,77,77,97,99,79,84,81,82,79,91,98,95
Male,15,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,58,60,89,59,68,62,80,60,75,60,72,92,95,94,68,95,93,71,93,93,84
Male,15,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,51,92,91,65,51,72,92,67,65,90,50,74,86,64,79,88,69,84,83,74,81
Female,15,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,70,56,92,54,95,60,81,74,61,72,92,74,86,72,87,91,83,99,96,94,91
Female,16,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,99,82,70,62,65,86,83,68,73,95,94,80,79,90,85,95,87,76,94,92,80
Female,15,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,66,79,75,65,72,55,65,79,76,69,69,57,62,68,73,90,76,87,95,88,69
Male,15,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,74,82,68,56,78,90,69,55,57,67,66,58,75,80,72,86,83,69,73,80,74
Female,16,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,56,78,78,84,65,55,77,58,66,85,55,86,65,75,66,76,97,81,73,77,93
Female,15,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,69,94,67,68,54,78,95,93,88,66,59,76,93,95,72,69,92,82,83,89,82
Male,15,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,81,61,80,78,72,82,88,93,88,61,88,88,64,76,62,82,87,70,83,99,81
Male,16,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,85,72,72,83,82,74,84,83,64,53,93,67,75,82,89,74,97,81,90,80,86
Female,16,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,76,84,98,82,77,90,77,68,74,88,95,86,92,83,92,79,89,76,84,82,94
Male,14,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,72,51,85,63,52,95,95,65,95,54,76,65,74,78,83,82,90,96,85,94,95
Male,14,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,63,51,84,76,60,71,59,69,89,91,87,58,89,82,91,85,82,73,74,84,88
Female,16,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,84,91,52,85,66,69,60,60,59,56,86,93,71,60,71,77,94,95,93,82,99
Female,16,Grade 10,Grade 11,School 1 Current Student,American ,School 1,American ,Grade System,83,81,57,60,55,65,62,66,90,77,72,91,83,91,68,94,99,73,86,79,84
Female,16,Grade 11,Grade 12,School 1 Current Student,American ,School 1,American ,Grade System,83,88,85,84,64,83,82,79,69,94,89,89,80,75,93,78,78,88,91,89,91
Male,16,Grade 11,Grade 12,School 1 Current Student,American ,School 1,American ,Grade System,66,85,52,76,91,52,95,82,70,89,87,78,83,94,60,76,96,94,79,98,93
Male,17,Grade 11,Grade 12,School 1 Current Student,American ,School 1,American ,Grade System,92,62,76,66,91,59,84,61,78,78,87,89,89,82,87,96,94,93,97,89,97
Male,17,Grade 11,Grade 12,School 1 Current Student,American ,School 1,American ,Grade System,51,91,69,87,80,51,59,55,89,92,68,65,82,74,67,69,94,83,84,85,78
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,73,100,92,64,86,81,65,71,81,76,82,73,75,92,93,90,80,77,85,92,89
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,94,72,52,92,62,53,56,66,57,75,84,79,69,95,85,81,91,74,85,85,87
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,78,52,59,75,51,50,80,74,79,59,60,88,79,89,92,78,72,95,70,89,96
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,89,80,86,70,82,84,87,71,62,74,75,50,64,68,87,72,99,77,82,69,87
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,60,58,80,76,80,82,82,69,89,80,58,68,67,78,65,75,93,73,82,89,93
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,55,79,68,71,66,51,70,81,79,59,88,79,85,83,87,98,71,98,78,70,91
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,63,57,72,57,87,69,86,67,83,85,68,77,81,89,80,96,71,81,87,81,99
Female,4,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,53,80,75,71,95,80,94,79,86,79,94,58,82,71,93,77,78,99,87,94,85
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,82,76,75,86,86,84,70,82,63,57,63,69,61,90,71,70,79,76,84,85,92
Female,4,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,53,78,50,65,90,87,78,92,70,69,59,87,93,84,64,85,74,80,89,92,75
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,77,59,66,71,64,70,72,60,67,93,69,75,74,79,85,99,99,74,88,76,86
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,80,83,61,87,59,85,85,65,74,87,93,66,95,89,63,75,77,81,76,85,99
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,71,73,86,79,73,60,66,76,63,91,67,72,75,77,95,92,94,82,89,93,80
Female,4,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,74,64,58,80,58,56,90,73,95,93,65,64,63,86,93,80,93,99,88,83,97
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,68,90,83,64,71,66,69,55,82,79,92,61,65,71,79,93,95,76,76,70,85
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,73,53,68,58,75,87,76,82,59,87,52,64,73,73,88,74,94,79,89,69,93
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,70,61,50,53,52,56,91,64,59,81,70,51,83,84,93,73,84,87,93,88,79
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,54,76,58,65,56,75,85,81,72,90,67,59,82,62,73,80,87,73,74,99,78
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,82,53,91,73,68,93,76,72,84,83,92,54,83,82,66,74,93,79,82,81,95
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,57,64,89,61,68,77,87,67,70,86,82,78,66,81,63,84,79,96,86,86,92
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,92,62,75,87,94,60,91,86,76,87,95,76,76,65,92,96,94,91,84,74,80
Female,4,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,83,57,64,67,68,69,56,74,79,78,56,54,83,76,71,72,89,76,94,74,93
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,70,51,61,88,91,81,76,63,56,93,66,67,88,94,80,70,93,92,86,74,72
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,52,82,86,73,84,84,91,89,95,84,52,79,67,62,78,81,95,79,69,71,76
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,91,76,89,73,57,50,89,89,90,91,55,81,67,87,75,93,96,95,98,98,79
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,79,50,61,62,92,94,58,85,58,79,57,79,61,71,77,94,97,72,76,72,75
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,70,76,71,53,90,93,95,73,73,55,64,95,93,68,91,88,83,89,81,82,77
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,59,77,69,56,73,87,83,85,65,81,91,94,88,82,75,81,69,72,83,80,70
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,83,88,96,64,61,88,79,87,87,75,92,83,90,80,92,89,75,84,100,95,82
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,62,80,90,88,75,58,82,67,80,66,52,69,68,85,90,69,82,85,97,70,93
Female,4,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,92,81,87,79,73,61,70,66,62,72,55,53,82,70,84,88,77,71,88,72,99
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,76,65,90,55,67,93,64,81,88,93,84,93,72,66,88,69,94,73,88,88,84
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,67,64,74,74,50,86,56,89,74,67,61,74,83,90,78,80,79,84,96,74,73
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,91,60,80,82,84,92,89,76,77,65,69,78,66,94,88,88,75,69,70,84,73
Female,4,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,68,68,57,68,71,60,95,58,65,68,84,86,61,67,94,85,97,78,95,80,94
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,94,61,91,62,73,59,66,87,75,88,71,93,77,89,83,90,71,85,93,89,92
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,77,74,53,63,62,54,85,62,62,78,95,57,84,93,66,77,94,86,83,86,98
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,91,75,55,89,82,54,64,73,94,55,75,73,82,71,91,96,71,93,80,88,83
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,90,95,91,57,69,73,64,68,63,95,66,71,77,93,88,73,72,98,71,70,84
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,90,61,85,81,57,80,84,75,90,52,51,69,62,86,64,92,76,98,73,70,93
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,82,66,94,68,55,64,73,58,68,55,64,76,83,86,64,85,85,82,80,89,74
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,74,65,85,87,69,79,81,94,90,95,53,81,94,68,68,99,84,93,81,90,95
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,68,62,84,67,82,57,93,60,74,63,81,56,68,91,73,93,89,74,98,92,95
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,62,73,72,61,65,81,59,75,87,73,50,57,87,61,60,83,77,81,74,97,82
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,53,78,82,65,54,78,79,91,76,83,50,91,78,68,92,94,72,69,97,99,72
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,83,68,64,62,61,93,72,83,68,62,58,81,80,94,61,82,70,92,84,81,98
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,91,78,76,58,73,74,86,79,68,71,79,66,89,72,67,74,95,79,91,75,77
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,93,56,75,68,79,60,72,55,55,82,88,87,89,94,82,98,99,80,75,78,79
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,62,72,94,74,92,63,64,82,66,82,87,68,89,81,95,74,77,88,77,90,77
Female,4,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,77,59,79,90,87,66,69,60,92,95,77,72,70,84,64,87,99,77,96,70,71
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,78,65,80,91,57,80,60,90,95,93,74,89,68,66,65,85,87,93,94,73,98
Male,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,52,60,84,63,63,91,56,62,94,84,78,61,74,76,77,84,93,90,87,95,69
Female,5,KG2,Grade 1,School 1 Current Student,American ,School 1,American ,Grade System,88,60,83,50,84,52,76,62,83,89,57,62,70,78,83,80,94,95,94,72,99
